HOUSEHOLD_ID,DRIVER_ID,POLICY_ID,CLAIM_ID,INCIDENT_CAUSE,DESCRIPTION,CLAIM_STATUS,ODOMETER_AT_LOSS,LOSS_EVENT_TIME,CLAIM_INIT_TIME,POLICE_REPORT,CLAIMS_AT_LOSS_DATE,LOSS_LOCATION_LAT,LOSS_LOCATION_LONG,CLAIM_AMOUNT,FLAG_FOR_FRAUD_INV
EK56020,AMQ2716,VQ0260535,A-2016-GZ132,5,,3,228054.5,2016-02-19 00:00:00.0,2016-02-28 00:00:00.0,1,1,41.66335924,-87.64109301,2714.00,0
JB10853,IBF2772,NY0641719,A-2016-TO975,5,,3,180271.3,2016-02-21 00:00:00.0,2016-03-02 00:00:00.0,0,1,41.80753346,-87.74300342,2590.00,0
EC71219,NTU6044,TO4521649,A-2016-RB634,5,,3,214386.8,2016-02-21 00:00:00.0,2016-02-25 00:00:00.0,0,1,41.75331874,-87.73006973,1080.00,0
CF32903,SDO1040,WZ4724116,A-2016-WQ290,4,,3,73170.2,2016-02-22 00:00:00.0,2016-03-06 00:00:00.0,0,1,41.86626526,-87.7263306,2955.50,0
MK16710,KBA5650,NP8088051,A-2016-ME516,5,,3,80957.8,2016-03-03 00:00:00.0,2016-03-08 00:00:00.0,1,1,41.74933329,-87.5827846,1700.00,0
BJ88891,MNR3897,UR7509122,A-2016-US357,5,,3,185685.9,2016-03-04 00:00:00.0,2016-03-14 00:00:00.0,0,1,41.90953467,-87.74596768,1510.00,0
GM95563,HTD2103,RN5205736,A-2016-ZJ528,3,,3,138053.3,2016-03-05 00:00:00.0,2016-03-18 00:00:00.0,0,1,41.89325533,-87.63715992,1529.50,0
IE74470,CGZ6410,VX5731466,A-2016-BM222,5,,3,328283.3,2016-03-07 00:00:00.0,2016-03-09 00:00:00.0,0,1,41.83111177,-87.60627454,1520.00,0
EB84834,SBA9495,UX5213400,A-2016-CZ594,4,,3,202050.2,2016-03-08 00:00:00.0,2016-03-14 00:00:00.0,1,1,41.95050216,-87.71428334,1380.00,0
AE63027,TNF4865,PZ8340148,A-2016-KG184,5,,3,76962.6,2016-03-09 00:00:00.0,2016-03-09 00:00:00.0,0,1,41.81201703,-87.68467692,1710.00,0
BB03722,FTL1199,PZ6238668,A-2016-PL781,4,,3,81690.7,2016-03-14 00:00:00.0,2016-03-14 00:00:00.0,0,3,41.82291859,-87.68177863,1870.00,0
CF95397,SME3407,ZR2077226,A-2016-MC694,1,,3,80833.4,2016-03-14 00:00:00.0,2016-03-14 00:00:00.0,0,1,41.75466012,-87.74138476,2980.00,0
EI16763,DSS6124,YO6924425,A-2016-MM975,4,,3,258563.0,2016-03-14 00:00:00.0,2016-03-22 00:00:00.0,1,1,41.94590518,-87.77418877,1805.50,0
JG55933,OEY8123,VO8920917,A-2016-BX915,3,,3,68089.2,2016-03-18 00:00:00.0,2016-03-27 00:00:00.0,1,1,41.7505461,-87.67329258,1748.00,0
HE87453,VZY2146,ZT9853572,A-2016-UL470,3,,3,167660.2,2016-03-22 00:00:00.0,2016-03-25 00:00:00.0,1,1,41.76037203,-87.59812736,1600.00,0
JH12836,WNV1383,TQ8626006,A-2016-XV991,2,,3,52294.1,2016-03-22 00:00:00.0,2016-03-24 00:00:00.0,0,1,41.87073773,-87.72041743,2590.00,0
EA86001,CNR2278,UU3551543,A-2016-QU841,3,,3,183135.2,2016-03-24 00:00:00.0,2016-04-05 00:00:00.0,0,2,41.93031835,-87.66605647,1520.00,0
FJ69794,ROK9489,OX1716087,A-2016-CJ672,4,,3,173217.2,2016-03-24 00:00:00.0,2016-03-28 00:00:00.0,0,1,41.7847235,-87.78655879,2410.00,0
MA22782,RBD4666,ZR8241641,A-2016-HP797,5,,3,77380.8,2016-03-25 00:00:00.0,2016-04-06 00:00:00.0,0,1,41.90405272,-87.66779309,2090.00,0
EF79317,MWS5738,QY9967922,A-2016-GU883,3,,3,117606.2,2016-03-26 00:00:00.0,2016-04-03 00:00:00.0,0,1,41.85669757,-87.64646342,2960.00,0
ME20711,DBQ3765,XV3051519,A-2016-KB364,1,,3,373050.5,2016-04-01 00:00:00.0,2016-04-02 00:00:00.0,0,2,41.89245291,-87.62249083,2750.00,0
BJ49119,HID9804,UZ0884711,A-2016-NK234,4,,3,125724.7,2016-04-09 00:00:00.0,2016-04-09 00:00:00.0,0,1,41.73653921,-87.60485428,1840.00,0
GK05855,LUJ7559,WU2915342,A-2016-DB446,5,,3,45687.8,2016-04-13 00:00:00.0,2016-04-25 00:00:00.0,1,1,41.85400128,-87.66589962,1620.00,0
MF71118,HFA8675,TP5072992,A-2016-WT995,1,,3,79607.8,2016-04-16 00:00:00.0,2016-04-30 00:00:00.0,0,3,41.87569888,-87.63243633,2340.00,0
EK40528,NYF3309,XQ9647119,A-2016-HI354,1,,3,196278.8,2016-04-16 00:00:00.0,2016-04-18 00:00:00.0,0,1,41.89668927,-87.61970125,2047.00,0
FJ71958,RFI5642,ZR6675536,A-2016-OY657,2,,3,307948.5,2016-04-16 00:00:00.0,2016-04-27 00:00:00.0,1,1,41.91148031,-87.80570726,2970.00,0
JG24742,LAW9699,YV6577181,A-2016-HJ971,4,,3,428506.4,2016-04-17 00:00:00.0,2016-04-23 00:00:00.0,0,3,41.86411696,-87.61894998,1730.00,0
GD94649,QZM1892,XX4015962,A-2016-QB477,5,,3,176427.2,2016-04-17 00:00:00.0,2016-04-17 00:00:00.0,0,1,41.89747568,-87.62836809,2277.00,0
DG34465,CPU1132,VR8204534,A-2016-WM469,5,,3,217958.2,2016-04-19 00:00:00.0,2016-04-30 00:00:00.0,1,3,41.83708346,-87.66649329,2323.00,0
FB98219,JNR4447,SR5517023,A-2016-DG239,1,,3,135179.7,2016-04-20 00:00:00.0,2016-04-29 00:00:00.0,0,1,41.97244295,-87.77809642,1184.50,0
EJ46742,QPM9215,SV7677200,A-2016-XV192,3,,3,145273.3,2016-04-26 00:00:00.0,2016-05-08 00:00:00.0,0,1,41.74186459,-87.73966907,2725.50,0
IB62587,COJ1762,ZU9078611,A-2016-GH567,2,,3,211344.0,2016-04-29 00:00:00.0,2016-05-02 00:00:00.0,1,3,41.89496867,-87.62939918,2390.00,0
ED11393,UBR3756,TU2525695,A-2016-TV937,3,,3,186150.9,2016-05-02 00:00:00.0,2016-05-09 00:00:00.0,1,1,41.66334431,-87.62197855,1030.00,0
LM24956,JOW5339,TO0356626,A-2016-ZF281,4,,3,197579.6,2016-05-03 00:00:00.0,2016-05-13 00:00:00.0,1,1,41.77641134,-87.70322589,2495.50,0
IC56125,AJD8726,QQ8533972,A-2016-NK110,2,,3,157533.0,2016-05-04 00:00:00.0,2016-05-06 00:00:00.0,0,1,41.9673272,-87.73878547,1150.00,0
AC27451,EUU9769,YZ7566990,A-2016-CT979,4,,3,131096.9,2016-05-04 00:00:00.0,2016-05-08 00:00:00.0,0,3,41.9246824,-87.71950184,2430.00,0
IE12487,JKA6976,XX1209637,A-2016-EC151,1,,3,296797.2,2016-05-06 00:00:00.0,2016-05-20 00:00:00.0,1,5,41.93924404,-87.67577282,2170.00,0
BI00940,XRJ1773,PZ5909614,A-2016-FR314,1,,3,243294.0,2016-05-08 00:00:00.0,2016-05-14 00:00:00.0,0,2,41.78059864,-87.59919787,2415.00,0
MD09065,VSO4473,SZ2093802,A-2016-JO130,1,,3,270617.8,2016-05-16 00:00:00.0,2016-05-20 00:00:00.0,0,1,41.88563256,-87.62637276,2012.50,0
AH86525,DPE4691,ZY1436686,A-2016-TV374,2,,3,349616.6,2016-05-17 00:00:00.0,2016-05-31 00:00:00.0,0,1,41.91794251,-87.66811346,2940.00,0
GH20010,KVB5879,OY1273516,A-2016-HC263,5,,3,164412.2,2016-05-19 00:00:00.0,2016-05-20 00:00:00.0,0,1,41.95370551,-87.73255098,1880.00,0
JF75578,SGO7528,SV1869698,A-2016-EC320,3,,3,454638.7,2016-05-25 00:00:00.0,2016-06-01 00:00:00.0,0,4,41.70818206,-87.56653528,1587.00,0
DK60010,RVA8409,TZ3885135,A-2016-DL316,2,,3,47082.7,2016-05-28 00:00:00.0,2016-06-06 00:00:00.0,0,1,41.87384723,-87.68608757,2290.00,0
HG90581,PBA4653,QU3273437,A-2016-PI440,2,,3,329389.3,2016-05-29 00:00:00.0,2016-06-04 00:00:00.0,0,1,41.8725215,-87.71702791,1300.00,0
DL13046,DVO4563,QX0354637,A-2016-XK569,5,,3,134162.4,2016-05-29 00:00:00.0,2016-06-01 00:00:00.0,0,1,41.91950909,-87.74604006,17070.00,0
KA25680,BEM6088,OW2080302,A-2016-HV508,3,,3,147014.6,2016-06-08 00:00:00.0,2016-06-08 00:00:00.0,1,1,41.99701459,-87.81041348,2440.00,0
AL08011,EJU9445,ZZ4472871,A-2016-SH742,2,,3,233363.0,2016-06-09 00:00:00.0,2016-06-18 00:00:00.0,1,1,41.8387788,-87.72920272,2290.00,0
LF35202,FTE9359,SY2891953,A-2016-DI581,1,,3,91330.9,2016-06-09 00:00:00.0,2016-06-09 00:00:00.0,1,1,41.94579927,-87.76423351,1460.00,0
DF26195,VPW7974,PY5164183,A-2016-UC688,3,,3,213462.2,2016-06-11 00:00:00.0,2016-06-25 00:00:00.0,0,3,41.95606345,-87.67623877,2430.00,0
DJ03531,IMO5899,NO1952857,A-2016-JC894,4,,3,212435.8,2016-06-11 00:00:00.0,2016-06-15 00:00:00.0,1,3,41.9214274,-87.75375576,1850.00,0
HM84054,AJZ5719,SO9657565,A-2016-YA977,5,,3,216126.6,2016-06-15 00:00:00.0,2016-06-24 00:00:00.0,0,1,41.72633413,-87.56686248,1210.00,0
CK35217,ZWV5684,UY7475415,A-2016-WE705,2,,3,127615.9,2016-06-18 00:00:00.0,2016-06-26 00:00:00.0,1,1,41.75826841,-87.61845149,17721.50,0
KB13759,RDF5532,RU4143795,A-2016-UJ516,5,,3,187053.8,2016-06-19 00:00:00.0,2016-06-23 00:00:00.0,0,3,41.92128809,-87.6548357,2150.00,0
BB93489,AKN7828,UQ0687951,A-2016-BL237,2,,3,59188.4,2016-06-19 00:00:00.0,2016-06-23 00:00:00.0,0,1,41.81754255,-87.69027516,2780.00,0
CC99314,BQH1714,OO6282493,A-2016-YB164,2,,3,363795.5,2016-06-26 00:00:00.0,2016-07-04 00:00:00.0,0,1,41.95285299,-87.79612953,1242.00,0
IE73202,VCS2108,PR6612726,A-2016-JH906,5,,3,138449.1,2016-07-02 00:00:00.0,2016-07-16 00:00:00.0,0,1,41.74348841,-87.62925563,2330.00,0
IG56042,CJN2483,UX4559107,A-2016-FF995,5,,3,195871.1,2016-07-07 00:00:00.0,2016-07-20 00:00:00.0,0,2,41.9281323,-87.64900381,1800.00,0
IC64201,SDO9660,SO2911762,A-2016-GW169,1,,3,115895.8,2016-07-08 00:00:00.0,2016-07-20 00:00:00.0,1,2,41.72284736,-87.53785564,2590.00,0
CA38107,TVO9427,SW2185914,A-2016-LL841,2,,3,250497.1,2016-07-09 00:00:00.0,2016-07-16 00:00:00.0,0,1,41.77677818,-87.72285872,1350.00,0
KH27308,RGW9657,RN6900888,A-2016-CR276,1,,3,119962.9,2016-07-26 00:00:00.0,2016-08-03 00:00:00.0,1,1,41.90304122,-87.63018768,1510.00,0
FI09681,AWU3983,SW9911661,A-2016-EY747,3,,3,236866.5,2016-07-28 00:00:00.0,2016-08-07 00:00:00.0,0,1,41.73470702,-87.59735992,1780.00,0
AF33165,PMN7048,SZ0462635,A-2016-IN591,1,,3,118168.5,2016-07-30 00:00:00.0,2016-08-10 00:00:00.0,0,3,41.80854224,-87.6845482,2320.00,0
CM00563,KXS5955,RV8119265,A-2016-CZ752,2,,3,229208.2,2016-07-31 00:00:00.0,2016-08-12 00:00:00.0,0,1,42.01548182,-87.6766873,1520.00,0
AE25680,GNJ7722,OX8468526,A-2016-JH676,1,,3,138554.3,2016-08-02 00:00:00.0,2016-08-16 00:00:00.0,0,1,41.87205805,-87.74507934,2740.00,0
MJ10968,ONV8201,QZ7794446,A-2016-IV722,4,,3,48422.8,2016-08-02 00:00:00.0,2016-08-09 00:00:00.0,0,1,41.85180997,-87.66616697,2710.00,0
FF21110,DJN3503,YS5424315,A-2016-UY262,3,,3,117059.0,2016-08-03 00:00:00.0,2016-08-04 00:00:00.0,1,1,41.85263366,-87.72915564,2510.00,0
JH72873,QFC1969,WS2845258,A-2016-DV998,4,,3,43052.9,2016-08-05 00:00:00.0,2016-08-07 00:00:00.0,1,2,41.85290378,-87.63500468,1040.00,0
ID61421,EXX9506,YS0850770,A-2016-EL664,2,,3,282275.4,2016-08-06 00:00:00.0,2016-08-20 00:00:00.0,0,3,41.88241054,-87.63721144,2170.00,0
CI99786,VPO6286,NZ6883125,A-2016-ZO214,5,,3,243612.7,2016-08-10 00:00:00.0,2016-08-19 00:00:00.0,0,1,41.73620947,-87.62430552,1564.00,0
IA79600,FRA6408,ZQ2241744,A-2016-AB343,2,,3,301696.3,2016-08-11 00:00:00.0,2016-08-20 00:00:00.0,1,1,41.89652094,-87.66255876,1210.00,0
HL60516,NUS7963,SR5266375,A-2016-PD376,1,,3,132835.1,2016-08-12 00:00:00.0,2016-08-15 00:00:00.0,0,3,41.74800268,-87.56631806,2730.00,0
HM55275,ORD4650,XR9202123,A-2016-EU678,1,,3,219285.9,2016-08-14 00:00:00.0,2016-08-21 00:00:00.0,0,1,42.00259638,-87.66093221,2320.00,0
JL38694,JOI7290,ZW1786613,A-2016-LS890,4,,3,294122.3,2016-08-18 00:00:00.0,2016-08-19 00:00:00.0,0,1,41.78408266,-87.73641287,1960.00,0
CE72205,YZH6500,YW0360562,A-2016-HK550,1,,3,102842.3,2016-08-22 00:00:00.0,2016-08-30 00:00:00.0,0,1,41.87675959,-87.74319833,2980.00,0
GD27076,AJL5352,OT8388522,A-2016-QA664,2,,3,367033.2,2016-08-25 00:00:00.0,2016-09-06 00:00:00.0,0,1,41.89751009,-87.65760212,1690.00,0
BC16240,RMI1597,OY9718157,A-2016-FL152,3,,3,145478.3,2016-08-27 00:00:00.0,2016-09-02 00:00:00.0,0,1,41.79481045,-87.66839755,1207.50,0
FH99860,HLS9921,QS8627661,A-2016-EK391,2,,3,53994.6,2016-08-27 00:00:00.0,2016-09-10 00:00:00.0,0,1,41.76779096,-87.58651632,3116.50,0
II94591,COV7639,XO0684564,A-2016-ZP953,3,,3,106846.5,2016-08-29 00:00:00.0,2016-09-05 00:00:00.0,0,1,41.84742098,-87.6123912,2740.00,0
HB56187,UIF3842,YT4555816,A-2016-JO793,5,,3,246782.0,2016-09-09 00:00:00.0,2016-09-11 00:00:00.0,0,1,41.91571189,-87.70218517,1370.00,0
MD02905,SWS9887,QV3913754,A-2016-NQ521,1,,3,70986.7,2016-09-10 00:00:00.0,2016-09-17 00:00:00.0,0,1,41.87907527,-87.7715013,2270.00,0
IE91008,VPR9416,QQ1258070,A-2016-EL238,3,,3,107207.5,2016-09-12 00:00:00.0,2016-09-17 00:00:00.0,0,1,41.87684496,-87.64233852,15240.00,0
BE37991,BVX5673,RX2128464,A-2016-FO880,5,,3,382844.8,2016-09-15 00:00:00.0,2016-09-26 00:00:00.0,0,1,41.85287759,-87.61380888,1230.00,0
HK98123,CYB7485,VN7933569,A-2016-WJ161,2,,3,386249.5,2016-09-18 00:00:00.0,2016-10-01 00:00:00.0,1,1,41.87831014,-87.6175759,2750.00,0
JH82234,MXU1596,UX1515385,A-2016-YK142,2,,3,347421.0,2016-09-18 00:00:00.0,2016-09-29 00:00:00.0,0,1,41.86252459,-87.64213178,1210.00,0
HA48792,GAT3965,PU2448607,A-2016-NA613,5,,3,94650.8,2016-09-21 00:00:00.0,2016-10-03 00:00:00.0,0,1,41.90281543,-87.62477194,1890.00,0
AD21233,NOQ5651,TX5197224,A-2016-DD777,3,,3,160946.7,2016-09-24 00:00:00.0,2016-10-08 00:00:00.0,0,1,41.93177005,-87.7368781,2980.00,0
FI15095,MWA3612,NO2626234,A-2016-VA733,1,,3,210844.5,2016-09-24 00:00:00.0,2016-09-26 00:00:00.0,0,1,41.8181867,-87.7433186,1730.00,0
MM12896,RTU3067,XW8497839,A-2016-GB494,1,,3,228257.5,2016-09-29 00:00:00.0,2016-10-02 00:00:00.0,0,2,41.87783674,-87.64729714,2668.00,0
IH34827,ORM5367,WY5525018,A-2016-WX452,2,,3,227350.0,2016-09-30 00:00:00.0,2016-10-04 00:00:00.0,0,4,41.72586851,-87.5862812,3231.50,0
ML16200,YZU3828,RP1691702,A-2016-GQ268,1,,3,205697.1,2016-09-30 00:00:00.0,2016-10-06 00:00:00.0,1,5,41.98254099,-87.74482204,1900.00,0
AC70922,QVU1634,TS9756361,A-2016-GW295,5,,3,227752.1,2016-10-04 00:00:00.0,2016-10-11 00:00:00.0,1,3,41.73554474,-87.67280128,1690.00,0
CJ26188,IRI1059,TY8597788,A-2016-FQ717,3,,3,99266.1,2016-10-07 00:00:00.0,2016-10-16 00:00:00.0,0,1,41.85530714,-87.62949717,1500.00,0
JM03532,ZPK6362,WW3786529,A-2016-FT602,2,,3,174632.9,2016-10-10 00:00:00.0,2016-10-18 00:00:00.0,0,1,41.84468662,-87.70218762,2490.00,0
EH38308,AQE1236,QV0727891,A-2016-CP968,2,,3,67792.3,2016-10-12 00:00:00.0,2016-10-20 00:00:00.0,0,1,41.81679293,-87.59494802,1490.00,0
GA35304,OIT3253,YO7875831,A-2016-MD678,4,,3,359871.4,2016-10-19 00:00:00.0,2016-10-27 00:00:00.0,0,3,41.70629866,-87.68846006,3105.00,0
KD48355,QHU8993,SZ4733930,A-2016-TX715,2,,3,47422.8,2016-10-23 00:00:00.0,2016-10-30 00:00:00.0,0,1,41.71615887,-87.53783852,2830.00,0
FD85224,ZWF8769,XV1061060,A-2016-OP598,1,,3,367010.8,2016-10-26 00:00:00.0,2016-11-07 00:00:00.0,0,2,41.86753904,-87.64505885,1670.00,0
CG15540,KVA2573,SV4262773,A-2016-BM107,1,,3,113784.5,2016-10-27 00:00:00.0,2016-11-03 00:00:00.0,1,1,41.76843541,-87.66619662,16070.00,0
GA62816,JFF2761,RY1022103,A-2016-XA843,5,,3,42097.3,2016-10-28 00:00:00.0,2016-11-02 00:00:00.0,0,2,41.89565166,-87.70771743,2240.00,0
JB33981,JAG1187,UT3981430,A-2016-HO697,1,,3,34151.1,2016-10-31 00:00:00.0,2016-11-14 00:00:00.0,0,1,41.87195364,-87.76334923,2277.00,0
GG32766,KAR5901,OP4491216,A-2016-TZ300,5,,3,185134.9,2016-10-31 00:00:00.0,2016-11-05 00:00:00.0,0,2,41.67463136,-87.62241,2740.00,0
CC27004,YVM2400,RX0281539,A-2016-LR588,2,,3,248353.9,2016-11-02 00:00:00.0,2016-11-12 00:00:00.0,0,1,41.89333774,-87.6312445,2520.00,0
FL24999,ROE4543,VT0106622,A-2016-RF444,3,,3,422412.8,2016-11-05 00:00:00.0,2016-11-08 00:00:00.0,0,4,41.90389254,-87.68813376,1200.00,0
CB58423,DCH4155,PU2943021,A-2016-LX294,5,,3,155196.7,2016-11-06 00:00:00.0,2016-11-19 00:00:00.0,0,2,41.81686515,-87.59868884,2500.00,0
LM65123,GDD4857,QS9761555,A-2016-NH551,2,,3,149077.6,2016-11-08 00:00:00.0,2016-11-08 00:00:00.0,0,1,41.88579694,-87.64570081,2170.00,0
FK37220,MUP3226,YW0797542,A-2016-NH175,3,,3,87645.6,2016-11-09 00:00:00.0,2016-11-21 00:00:00.0,1,1,41.8443248,-87.71106732,1850.00,0
IC57782,ANU9281,XW5092196,A-2016-WR831,5,,3,45583.2,2016-11-10 00:00:00.0,2016-11-17 00:00:00.0,0,1,41.83778218,-87.72056251,2670.00,0
KA66893,LYL7172,SW9074081,A-2016-MT396,2,,3,57027.0,2016-11-11 00:00:00.0,2016-11-22 00:00:00.0,0,1,41.93192434,-87.71238139,1700.00,0
CB56189,CVV6321,NZ7127290,A-2016-LV599,2,,3,119978.3,2016-11-12 00:00:00.0,2016-11-12 00:00:00.0,0,1,41.87641197,-87.65685532,2420.00,0
MF24904,RLC1416,OO2524314,A-2016-JK709,2,,3,50768.3,2016-11-12 00:00:00.0,2016-11-17 00:00:00.0,0,1,41.95910043,-87.68239224,1290.00,0
KF45107,OKC8514,ZW1441904,A-2016-BH360,2,,3,99934.2,2016-11-13 00:00:00.0,2016-11-15 00:00:00.0,0,3,41.81312066,-87.62146205,1900.00,0
AG07713,ALG6593,VZ0962679,A-2016-CT983,5,,3,215695.2,2016-11-16 00:00:00.0,2016-11-28 00:00:00.0,0,2,41.99494702,-87.67559118,2800.00,0
AH19995,AKN9070,TQ9596648,A-2016-BE830,5,,3,251473.2,2016-11-17 00:00:00.0,2016-11-18 00:00:00.0,0,1,41.8776941,-87.75352928,16680.00,0
GL96134,OIV7008,SQ0996695,A-2016-GF943,1,,3,86339.7,2016-11-18 00:00:00.0,2016-11-24 00:00:00.0,0,2,41.75831465,-87.61526504,1630.00,0
MJ83836,YPU4542,UN9915734,A-2016-ED616,3,,3,291106.8,2016-11-21 00:00:00.0,2016-11-28 00:00:00.0,0,4,41.94868367,-87.64364976,1759.50,0
CJ32124,GRG4897,VS9071924,A-2016-MB772,1,,3,127783.4,2016-11-22 00:00:00.0,2016-11-26 00:00:00.0,0,1,41.93216123,-87.70381587,1780.00,0
CC78693,NTC9808,RU2151351,A-2016-DH475,2,,3,46620.6,2016-11-25 00:00:00.0,2016-12-01 00:00:00.0,0,1,41.77469454,-87.7420133,1800.00,0
BK87192,GTF4097,ZX0110603,A-2016-VA425,1,,3,88939.1,2016-11-28 00:00:00.0,2016-12-02 00:00:00.0,1,1,41.93064372,-87.68536822,1817.00,0
BC90853,JOA9170,TW2172802,A-2016-RW653,5,,3,240639.2,2016-12-01 00:00:00.0,2016-12-10 00:00:00.0,1,1,41.73618257,-87.64365982,2173.50,0
KE74292,JXY1001,NS8944000,A-2016-IH941,3,,3,236296.9,2016-12-02 00:00:00.0,2016-12-06 00:00:00.0,1,1,41.79380306,-87.69365621,16479.50,0
FL76780,NHV2660,QO0281819,A-2016-ZO625,2,,3,90598.9,2016-12-03 00:00:00.0,2016-12-12 00:00:00.0,1,1,41.89451634,-87.71887163,14360.00,0
DE72627,JBM7921,NZ0903901,A-2016-ZA480,5,,3,99222.0,2016-12-04 00:00:00.0,2016-12-09 00:00:00.0,1,1,41.75621011,-87.63134494,1020.00,0
FF96280,PME9660,YQ4164671,A-2016-EA365,2,,3,121593.2,2016-12-04 00:00:00.0,2016-12-17 00:00:00.0,1,2,41.93859158,-87.75656533,2610.00,0
DC58278,FIT3330,ZO6268237,A-2016-UX792,3,,3,176085.3,2016-12-06 00:00:00.0,2016-12-18 00:00:00.0,0,1,41.84595344,-87.68562033,2360.00,0
IH09159,WGO5331,PO4417719,A-2016-XA416,3,,3,101935.6,2016-12-13 00:00:00.0,2016-12-21 00:00:00.0,0,1,41.89093109,-87.67703497,2060.00,0
